nombre,bruto_anual,sexo,fecha_nacimiento,edad,partido,inicio_actividad,tiempo,curso,dedicacion ,sueldo_bruto_2013,descuentos,deduccion,sueldo_neto_2013,Kilometraje_2013,distancia,domicilio,distancia_domicilio,viajes,lugar_origen,dietas,observaciones,foto
"Lasa Gorraiz, Xabier ","49,422.10 €",Hombre,1967,47,Aralar-NaBai,2011,3,2014,Absoluta,,"11,314.08 €",22.89%,"38,108.02 €",,,Berriozar,,,Pamplona,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=233
"Leuza García, Patxi ","49,422.10 €",Hombre,30-01-1960,54,No adscrito,2011,3,2014,Absoluta,,"12,302.48 €",24.89%,"37,119.62 €",,,Pamplona,,,Larraga ,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=234
"Lizarbe Baztán, Juan José ","37,066.54 €",Hombre,04-01-1962,52,PSOE,1999,15,2014,Parcial,,"8,625.92 €",23.27%,"28,440.62 €",,,Pamplona,,,Olite,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=102
"Longás García, Juan Carlos ","49,422.10 €",Hombre,19-07-1962,52,Aralar-NaBai,2011,3,2014,Absoluta,,"10,625.72 €",21.49%,"38,796.38 €",,,Pamplona,,, Cáseda ,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=235
"Lorente Pérez, Francisco Javier ",,Hombre,13-02-1956,58,UPN,2012,2,2013,Asistencia,"28,729.76 €","6,282.41 €",21.86%,"22,447.35 €",,,Pamplona,,,Milagro,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=266
"Mauleón Echeverría, Txema ","49,422.10 €",Hombre,19-09-1973 ,41,IU,2011,3,2014,Absoluta,,"12,599.00 €",25.49%,"36,823.10 €",,,Pamplona,,,Pamplona,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=236
"Nuin Moreno, José Miguel ","55,601.14 €",Hombre,30-03-1968 ,46,IU,1998-2007/2011,12,2014,Absoluta,,"15,373.10 €",27.64%,"40,228.04 €",,,Pamplona,,,Pamplona,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=52
"Ochoa Canela, M.ª del Carmen ","49,422.10 €",Mujer,01-09-1952,62,PSOE,2011,3,2014,Absoluta,,"12,599.00 €",25.49%,"37,774.49 €",,,Olite,,,Barcelona,951.39 €,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=254
"Otamendi Claramunt, Amaya ",,Mujer,24-10-1972,42,UPN,2007,7,2013,Asistencia,"23,555.68 €","5,163.19 €",21.91%,"19,105.49 €",713.00 €,2300.0,Pamplona,?,,Pamplona,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=170
"Pérez Irazabal, Nekane ","49,422.10 €",Mujer,15-06-1968,46,Aralar-NaBai,2007,7,2014,Absoluta,,"9,340.80 €",18.90%,"46,213.41 €","6,132.11 €",19781.0,Bera, 136 km,145,Barakaldo,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=180
"Pérez Prados, Antonio ",,Hombre,23-09-1953,61,UPN,2011,3,2013,Asistencia,"31,074.14 €","8,306.85 €",26.73%,"22,767.29 €",,,,,,Sesma  ,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=237
"Ramírez Erro, Maiorga ","49,422.10 €",Hombre,20-07-1976,38,Bildu,2003,11,2014,Absoluta,,"12,599.00 €",25.49%,"39,817.70 €","2,994.60 €",9660.0,Tafalla,"75,4 km",128,Tafalla,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=140
"Rapún León, José Antonio ","49,422.10 €",Hombre,16-07-1958,56,UPN,1999,15,2014,Absoluta,,"12,302.48 €",24.89%,"44,311.62 €","7,192.00 €",23200.0,Arguedas,"184,4 km",125.8,Pamplona,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=110
"Rascón Macías, Pedro ","49,422.10 €",Hombre,09-01-1956,58,PSOE,2011,3,2014,Absoluta,,"12,302.48 €",24.89%,"31,119.62 €",,,Pamplona,,,"Orense, Galicia",,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=248
"Rubio Martínez, Víctor ","49,422.10 €",Hombre,30-07-1965,49,Bildu,2011,3,2014,Absoluta,,"12,274.23 €",24.83%,"31,147.87 €",,,,,,Barakaldo,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=239
"Ruiz Jaso, Bakartxo ","49,422.10 €",Mujer,,,Bildu,2011,3,2014,Absoluta,,"15,373.10 €",31.10%,"40,228.04 €",,,Pamplona,,,,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=238
"Sanzberro Iturriria, Begoña ","49,422.10 €",Mujer,11-09-1962,52,UPN,2003-2007 2001-2014,17,2014,Asistencia/Absoluta,"48,175.58 €","9,079.44 €",18.84%,"42,095.70 €","2,999.56 €",9676.0,Baztan,"122,2 km",79,Baztan,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=143
"Sarasola Jaca, Aitziber ","49,422.10 €",Mujer,04-11-1973,41,Bildu,2011,3,2014,Absoluta,,"12,514.06 €",25.32%,"36,908.04 €",,,,,,San Sebastián,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=241
"Sayas López, Sergio ","49,422.10 €",Hombre,06-07-1979,35,UPN,2007,7,2014,Absoluta,,"12,599.00 €",25.49%,"36,823.10 €",,,Pamplona,,,Buñuel,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=162
"Villanueva Cruz, Eloy ","49,422.10 €",Hombre,15-08-1979,35,PP,2011,3,2014,Parcial/Absoluta,"40,155.43 €","9,136.10 €",22.75%,"31,019.33 €",,,Pamplona,,,San Sebastián,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=243
"Zabaleta Zabaleta, Patxi ","41,700.82 €",Hombre,20-05-1947,67,Aralar-NaBai,1991-1999/2007-2014,15,2014,Parcial,,"10,036.38 €",24.06%,"31,664.44 €",,,Pamplona,,,Leitza,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=73
"Zarranz Errea, Amaya ","49,422.10 €",Mujer,10-12-1973,41,PP,2011,3,2014,Absoluta,,"12,599.00 €",25.49%,"36,823.10 €",,,Villava,,,Pamplona,,,http://www.parlamentodenavarra.es/Modules/Personas/ImageFactory.aspx?idpersona=244
